Designator,Mid X,Mid Y,Rotation,Layer
D48,134.5265,-207.1206,270.0,top
D49,212.0411,-194.3608,180.0,top
D5,120.5855,-183.7436,180.0,top
D50,204.4883,-194.3608,180.0,top
D51,204.4719,-199.0852,0.0,top
D52,212.5147,-202.1652,90.0,top
D53,243.2143,-194.3608,180.0,top
D54,235.6631,-194.3608,180.0,top
D55,235.6959,-199.0852,0.0,top
D56,243.5535,-202.216,90.0,top
D57,127.1422,-237.4138,270.0,top
D58,127.1422,-247.3706,270.0,top
D59,119.0142,-237.3702,270.0,top
D6,127.0957,-117.4054,270.0,top
D60,119.0142,-247.3706,270.0,top
D61,180.9586,-233.934,180.0,top
D62,173.355,-233.934,180.0,top
D63,173.355,-238.7092,0.0,top
D64,181.3814,-241.7892,90.0,top
D65,134.5082,-239.3622,270.0,top
D66,134.5082,-246.7446,270.0,top
D67,212.0228,-233.9848,180.0,top
D68,204.47,-233.9848,180.0,top
D69,204.4536,-238.7092,0.0,top
D7,127.0957,-127.3622,270.0,top
D70,212.4964,-241.7892,90.0,top
D71,243.196,-233.9848,180.0,top
D72,235.6448,-233.9848,180.0,top
D73,235.6776,-238.7092,0.0,top
D74,243.5352,-241.84,90.0,top
D75,120.7815,-343.8906,180.0,top
D76,127.1611,-277.5712,270.0,top
D77,127.1611,-287.528,270.0,top
D78,119.0331,-277.5276,270.0,top
D79,119.0331,-287.528,270.0,top
D8,118.9677,-117.3618,270.0,top
D80,180.9775,-274.0914,180.0,top
D81,173.3739,-274.0914,180.0,top
D82,173.3739,-278.8666,0.0,top
D83,181.4003,-281.9466,90.0,top
D84,134.5271,-279.5196,270.0,top
D85,134.5271,-286.902,270.0,top
D86,212.0417,-274.1422,180.0,top
D87,204.4889,-274.1422,180.0,top
D88,204.4725,-278.8666,0.0,top
D89,212.5153,-281.9466,90.0,top
D9,118.9677,-127.3622,270.0,top
D90,243.2149,-274.1422,180.0,top
D91,235.6637,-274.1422,180.0,top
D92,235.6965,-278.8666,0.0,top
D93,243.5541,-281.9974,90.0,top
D94,127.1577,-317.118,270.0,top
D95,127.1577,-327.0748,270.0,top
D96,119.0297,-317.0744,270.0,top
D97,119.0297,-327.0748,270.0,top
D98,180.9741,-313.6382,180.0,top
D99,173.3705,-313.6382,180.0,top
FB1,126.175,-89.535,180.0,top
IC1,92.7041,-117.9642,270.0,top
IC10,106.9746,-260.9342,180.0,top
IC11,92.7695,-278.13,270.0,top
IC12,106.9935,-301.0916,180.0,top
IC13,92.7661,-317.6768,270.0,top
IC14,106.9901,-340.6384,180.0,top
IC2,106.9281,-140.9258,180.0,top
IC3,92.6967,-157.5572,270.0,top
IC4,106.9207,-180.5188,180.0,top
IC5,92.7689,-198.3486,270.0,top
IC6,106.9929,-221.3102,180.0,top
IC7,106.9281,-98.425,0.0,top
IC8,130.028,-95.073,180.0,top
IC9,92.7506,-237.9726,270.0,top
J1,265.3225,-148.0566,0.0,top
J2,265.43,-115.824,0.0,top
J3,265.4495,-228.4476,0.0,top
J4,266.439,-347.853,0.0,top
J5,265.4565,-308.2036,0.0,top
Q1,52.324,-120.983,0.0,top
Q10,209.0009,-127.3313,270.0,top
Q11,222.2035,-120.8126,0.0,top
Q12,240.0699,-127.3599,270.0,top
Q13,253.4059,-120.8116,0.0,top
Q14,177.9301,-207.6935,270.0,top
Q15,191.2041,-201.1748,0.0,top
Q16,209.0657,-207.7157,270.0,top
Q17,222.2683,-201.197,0.0,top
Q18,240.1347,-207.7443,270.0,top
Q19,253.4707,-201.196,0.0,top
Q2,177.8579,-166.9021,270.0,top
Q20,177.9118,-247.3175,270.0,top
Q21,191.1858,-240.7988,0.0,top
Q22,209.0474,-247.3397,270.0,top
Q23,222.25,-240.821,0.0,top
Q24,240.1164,-247.3683,270.0,top
Q25,253.4524,-240.82,0.0,top
Q26,177.9307,-287.4749,270.0,top
Q27,191.2047,-280.9562,0.0,top
Q28,209.0663,-287.4971,270.0,top
Q29,222.2689,-280.9784,0.0,top
Q3,191.1319,-160.3834,0.0,top
Q30,240.1353,-287.5257,270.0,top
Q31,253.4713,-280.9774,0.0,top
Q32,177.9273,-327.0217,270.0,top
Q33,191.2013,-320.503,0.0,top
Q34,209.0629,-327.0439,270.0,top
Q35,222.2655,-320.5252,0.0,top
Q36,240.1319,-327.0725,270.0,top
Q37,253.4679,-320.5242,0.0,top
Q4,177.8653,-127.3091,270.0,top
Q5,208.9935,-166.9243,270.0,top
Q6,222.1961,-160.4056,0.0,top
Q7,240.0625,-166.9529,270.0,top
Q8,253.3985,-160.4046,0.0,top
Q9,191.1393,-120.7904,0.0,top
R1,91.0711,-165.5958,270.0,top
R10,182.1593,-127.731,90.0,top
R100,211.7042,-247.7616,270.0,top
R101,240.221,-244.5512,0.0,top
R102,246.2784,-247.7902,90.0,top
R103,244.5512,-247.7902,90.0,top
R104,242.824,-247.7902,270.0,top
R105,91.1439,-286.1686,270.0,top
R106,93.5691,-286.893,180.0,top
R107,178.0353,-284.6578,0.0,top
R108,183.8757,-287.8968,90.0,top
R109,182.2247,-287.8968,90.0,top
R11,180.5083,-127.731,270.0,top
R110,180.5737,-287.8968,270.0,top
R111,209.2133,-284.6578,0.0,top
R112,215.1267,-287.919,90.0,top
R113,213.4503,-287.9434,90.0,top
R114,211.7231,-287.919,270.0,top
R115,240.2399,-284.7086,0.0,top
